Ingestion Order,Shelf Mark,Volume,PID,Create Date,File Name (.PDF),Path,File Size (MB),LSID
234,Playbills 325,Playbills 325,482680,28 de sep de 10,015404243_1724_Playbills 325,/2010/09/28/file_8/482680,"344,87",41bb53f8
232,Playbills 327 ,Playbills 327 (1),481697,28 de sep de 10,015396108_743_Playbills 327 (1),/2010/09/28/file_7/481697,"141,53",41bb5189
233,Playbills 327 ,Playbills 327 (2),482063,28 de sep de 10,015396108_1108_Playbills 327 (2),/2010/09/28/file_8/482063,"180,18",41bb52c9
254,Playbills 329,Playbills 329,486511,29 de sep de 10,015406439_2616_Playbills 329,/2010/09/29/file_3/486511,"324,86",41bb6953
245,Playbills 330,Playbills 330,484478,29 de sep de 10,015406629_593_Playbills 330,/2010/09/29/file_1/484478,"456,21",41bb4e45
239,Playbills 348,Playbills 348,483427,28 de sep de 10,015410005_592_Playbills 348,/2010/09/28/file_9/483427,"66,7",41bb5658
27,Playbills 35,Playbills 35,385113,13 de sep de 10,015119502_547_Playbills 35,/2010/09/13/file_1/385113,"268,62",3f9dbbd5
237,Playbills 358,Playbills 358,483258,28 de sep de 10,015395629_425_Playbills 358,/2010/09/28/file_9/483258,"95,34",41bb4d8d
4,Playbills 4,Playbills 4,374684,3 de sep de 10,015376991_231_Playbills 4,/2010/09/03/file_2/374684,"113,39",3f9bd39b
28,Playbills 40,Playbills 40,385373,13 de sep de 10,015119667_806_Playbills 40,/2010/09/13/file_1/385373,"266,41",3f9dc0b9
235,Playbills 400,Playbills 400,482950,28 de sep de 10,015396442_119_Playbills 400,/2010/09/28/file_8/482950,"43,31",41bb50d7
240,Playbills 401,Playbills 401,483726,28 de sep de 10,015396447_890_Playbills 401,/2010/09/28/file_9/483726,"65,94",41bb56f1
236,Playbills 402,Playbills 402,483051,28 de sep de 10,015399092_219_Playbills 402,/2010/09/28/file_9/483051,"26,28",41bb4bc2
241,Playbills 403,Playbills 403,483788,28 de sep de 10,015398498_951_Playbills 403,/2010/09/28/file_9/483788,"15,26",41bb4cd1
238,Playbills 404,Playbills 404,483305,28 de sep de 10,015398634_471_Playbills 404,/2010/09/28/file_9/483305,"16,29",41bb4d11
242,Playbills 406,Playbills 406,483853,28 de sep de 10,015398737_1015_Playbills 406,/2010/09/28/file_9/483853,"11,51",41bb4d56
256,Playbills 407,Playbills 407,487036,29 de sep de 10,015398743_3139_Playbills 407,/2010/09/29/file_4/487036,"58,88",41bb6cb7
248,Playbills 408,Playbills 408,485759,29 de sep de 10,015410348_1870_Playbills 408,/2010/09/29/file_2/485759,"24,84",41bb6638
249,Playbills 409,Playbills 409,485832,29 de sep de 10,015398765_1942_Playbills 409,/2010/09/29/file_2/485832,"37,78",41bb61cf
29,Playbills 41,Playbills 41,385443,14 de sep de 10,015289813_51_Playbills 41,/2010/09/14/file_1/385443,"211,41",3f9dbd50
247,Playbills 410,Playbills 410,485458,29 de sep de 10,015399265_1571_Playbills 410,/2010/09/29/file_2/485458,"33,22",41bb67ba
244,Playbills 412,Playbills 412,484296,29 de sep de 10,015399397_412_Playbills 412,/2010/09/29/file_1/484296,"44,37",41bb4c29
253,Playbills 413,Playbills 413,486403,29 de sep de 10,015414284_2509_Playbills 413,/2010/09/29/file_3/486403,"24,35",41bb6174
