title,author,place_production,date,extents,credits_note,subjects,summary,detail,link
"PORT OF GLASGOW, the.",Scottish Films / Thames and Clyde Productions,[Place of production not identified]  : ,1936,['(10 mins) : '],"Producer, Scottish Educational Film Association  .","Buses and Coaches, general -- Carriages -- Ferries -- Paddle Steamers -- Ships and Shipping -- Transport -- Water and Waterways -- Glasgow -- educational","View of the banks of the River Clyde, Glasgow.  The dock area is seen filled with cargo vessels, ferries, and shipyards.","silent, black and white",http://movingimage.nls.uk/film/0048
"ARMISTICE SERVICE, VICTORIA PARK, WHITEINCH and (SCHOOL SPORTS DAY).",,[Place of production not identified]  : ,1928,['(1.32 mins) : '],"Producer, Grosvenor Topical News.",Ceremonies -- Children and Infants -- Leisure and Recreation -- Sporting Activities -- War -- Glasgow -- local topical,"Service held in Victoria Park, Whiteinch, Glasgow.  Parade of veterans and boys brigade.  A school sports day in Glasgow.","silent, black and white",http://movingimage.nls.uk/film/0049
"UNIVERSAL NEWS ISSUE No 2396, QUEEN IN SCOTLAND, the.",,[Place of production not identified]  : ,1953,['(13 mins) : '],"Producer, Universal News.",Ceremonies -- Royalty -- Edinburgh -- Glasgow -- Renfrewshire -- newsreel,"Queen Elizabeth on a Coronation visit to Scotland.  Provost Sir James Millar presents the Queen with the Keys to Edinburgh, the Queen also visits Holyrood House, St Giles' Cathedral and the city of Glasgow. ","sound, black and white",http://movingimage.nls.uk/film/0051
GOVAN FAIR 1952.,"ELDER, John C",[Place of production not identified]  : ,1952,['(7 mins) : '],"Producer, Elder Film Productions.","Celebrations, Traditions and Customs -- Ceremonies -- Leisure and Recreation -- Glasgow -- local topical","Official ceremonial opening of Old Govan Fair, Glasgow.  Coronation of the Fair Queen by Mrs Singleton, wife of George, the director of the Vogue Cinema.","silent, black and white",http://movingimage.nls.uk/film/0053
ROYAL VISIT OF GEORGE VI.,,[Place of production not identified]  : ,1937,['(6 mins) : '],"Producer, Gaumont British News.",Ceremonies -- Royalty -- Edinburgh -- newsreel,"The King and Queen are received in Edinburgh by Walter Elliot, the Secretary Of State.  Shots of the Ceremony of the Keys at Edinburgh Castle. [Incomplete]","sound, black and white",http://movingimage.nls.uk/film/0054
"GLASGOW TRAMS, 21 May 1960.",,[Place of production not identified]  : ,1960,['(15.15 mins) : '],"Director, filmed by  Revd. John Walsh.",Transport -- Glasgow -- amateur -- home movies and videos,"Views of both contemporary and slightly older types of tram in Glasgow. 21st May, 1960. ","silent, colour",http://movingimage.nls.uk/film/0055
(TRAM ROUTES IN GLASGOW AND STEAM RAILWAYS).,,[Place of production not identified]  : ,1962,['(45.00 minsc) : '],"Director, filmed by I.C. MacDougall.",Transport -- Glasgow -- amateur,"Amateur footage of the last days of the Glasgow Corporation tram service - also includes shots of rural railway lines in Wales and around the English-Welsh border, and industrial scenes around the Middlesbrough area.","silent, colour",http://movingimage.nls.uk/film/0056
OUR TRANSPORT SERVICES.,"MacLEAN, William J. ‘Mac’",[Place of production not identified]  : ,1949,['(14.11 mins) : '],"Director, [d. Willie J. McLean] ; Producer, .","Buses and Coaches, general -- Transport -- Glasgow -- educational",The story of Glasgow Municipal Transport System from hansom cabs to trams and buses.,"silent, black and white",http://movingimage.nls.uk/film/0057
NEWS PARADE 1939.,,[Place of production not identified]  : ,1939,['(9 mins) : '],Credits: [SCFL.  BFI.].,"Air displays and shows -- British Empire, the -- Media, Communication and the Creative Industries -- Politics -- Transport -- War -- newsreel","A news compilation featuring Franco's victory, the sinking of the submarine USS Squalus, floods in China, a 'Love Parade' in Canada, the German invasion of Poland and France's declaration of war.","silent, black and white",http://movingimage.nls.uk/film/0060
GLASGOW - OUR CITY.,Glasgow Corporation,[Place of production not identified]  : ,1949,['(17.00 mins) : '],"Director, d. Stanley L. Russell ; Producer, Campbell Harper Films Ltd..",Lanarkshire -- educational,"Glasgow old and new, with shots of contemporary street life and local industries.  The film is interspersed with illustrations of 17th and 18th century Glasgow.","silent, black and white",http://movingimage.nls.uk/film/0062
